query_id,text,hours,start_lat,start_lon,start_raw,interests_set
Q0024,"Покажи мне Нижний, который любят местные, а не туристы. 4 часа, старт от Черного пруда.",4.0,,,"Покажи мне Нижний, который любят местные, а не туристы. 4 часа, старт от Черного пруда.",[]
Q0025,прост погулять часик. я гдето на белинке.,,,,прост погулять часик. я гдето на белинке.,[]
Q0026,"Ищу локации для съемки клипа в стиле киберпанк. Неоновые вывески, футуристичная архитектура. 3 часа, посоветуй район.",3.0,,,"Ищу локации для съемки клипа в стиле киберпанк. Неоновые вывески, футуристичная архитектура. 3 часа, посоветуй район.",[]
Q0027,Есть 2 часа до самолета. Я в районе аэропорта. Стоит ли ехать в город или тут рядом есть что-то?,2.0,,,Есть 2 часа до самолета. Я в районе аэропорта. Стоит ли ехать в город или тут рядом есть что-то?,[]
Q0028,Маршрут по местам силы. 3 часа. Слышал про Дятловы горы и какие-то овраги. Расскажи подробнее.,3.0,,,Маршрут по местам силы. 3 часа. Слышал про Дятловы горы и какие-то овраги. Расскажи подробнее.,[]
Q0029,"Хочу порисовать на пленэре. 4 часа. Нужен маршрут с несколькими точками, откуда открываются классические виды на Стрелку и Кремль.",4.0,56.3348695,43.9437729,"Хочу порисовать на пленэре. 4 часа. Нужен маршрут с несколькими точками, откуда открываются классические виды на Стрелку и Кремль.",[]
Q0030,пакажи где можно поесть самые вкусные блины в городе. и прагулку на 1.5 часа рядом.,1.5,56.3264816,44.0051395,пакажи где можно поесть самые вкусные блины в городе. и прагулку на 1.5 часа рядом.,[]
Q0031,"Я с собакой (большой). Нужен маршрут на 2 часа, где можно будет ее отпустить с поводка. Может, какой-то большой парк? Старт от пл. Советской.",2.0,56.3240676,44.0005071,"Я с собакой (большой). Нужен маршрут на 2 часа, где можно будет ее отпустить с поводка. Может, какой-то большой парк? Старт от пл. Советской.","[""park""]"
Q0032,Что такое 'Започаинье'? Хочу там погулять 2 часа и прочувствовать атмосферу. Старт от Ильинской церкви.,2.0,,,Что такое 'Започаинье'? Хочу там погулять 2 часа и прочувствовать атмосферу. Старт от Ильинской церкви.,[]
Q0033,"Мне нужно купить сувениры. Посоветуй 2-часовой маршрут, который пройдет по главным сувенирным лавкам и закончится у Почты. Старт от пл. Минина.",,56.3240676,44.0005071,"Мне нужно купить сувениры. Посоветуй 2-часовой маршрут, который пройдет по главным сувенирным лавкам и закончится у Почты. Старт от пл. Минина.",[]
Q0034,"Еду на машине через ваш город. Есть 3 часа, чтобы выйти и размяться. Куда лучше подъехать, чтобы быстро увидеть самое-самое?",3.0,,,"Еду на машине через ваш город. Есть 3 часа, чтобы выйти и размяться. Куда лучше подъехать, чтобы быстро увидеть самое-самое?",[]
Q0035,Ищу самый старый дом в Нижнем Новгороде. Построй маршрут к нему на 1 час от Речного вокзала.,1.0,,,Ищу самый старый дом в Нижнем Новгороде. Построй маршрут к нему на 1 час от Речного вокзала.,[]
Q0036,Мы студенты-историки. Нужен глубокий маршрут на 5 часов по истории Ополчения 1612 года. Старт от памятника Минину и Пожарскому.,5.0,56.3290105,44.0024284,Мы студенты-историки. Нужен глубокий маршрут на 5 часов по истории Ополчения 1612 года. Старт от памятника Минину и Пожарскому.,[]
Q0037,"Маршрут на 2 часа. Старт от ул. Родионова. Хочу найти что-то тихое и зеленое, устал от города.",2.0,56.3270017,43.9834169,"Маршрут на 2 часа. Старт от ул. Родионова. Хочу найти что-то тихое и зеленое, устал от города.",[]
Q0038,"Покажи мне места, связанные с роком и андеграундом 90-х. 3 часа. Старт от Покровки.",3.0,,,"Покажи мне места, связанные с роком и андеграундом 90-х. 3 часа. Старт от Покровки.","[""street_art""]"
Q0039,Хочу увидеть все мосты в центре города. Маршрут на 2.5 часа. Старт от Канавинского моста (со стороны ярмарки).,2.5,56.266391,43.7642793,Хочу увидеть все мосты в центре города. Маршрут на 2.5 часа. Старт от Канавинского моста (со стороны ярмарки).,"[""history""]"
Q0040,"2 часа. Я на Мещере. Что тут есть интересного, кроме спальных районов и ТЦ? Может, какая-то набережная или парк?",2.0,,,"2 часа. Я на Мещере. Что тут есть интересного, кроме спальных районов и ТЦ? Может, какая-то набережная или парк?","[""park"", ""view""]"
Q0041,"45 минут. Я у планетария. Куда можно сходить, чтобы посмотреть на звезды... ну или просто на красивый вид?",0.75,,,"45 минут. Я у планетария. Куда можно сходить, чтобы посмотреть на звезды... ну или просто на красивый вид?","[""view""]"
Q0042,маршрут на 2 часа. хочу пощюпать историю руками. старт от кремля.,2.0,56.3264816,44.0051395,маршрут на 2 часа. хочу пощюпать историю руками. старт от кремля.,[]
Q0043,"Составь маршрут, чтобы я мог сказать 'Я видел Нижний Новгород'. 4 часа. Самое-самое. Старт от Московского вокзала.",4.0,56.3228758,43.9461745,"Составь маршрут, чтобы я мог сказать 'Я видел Нижний Новгород'. 4 часа. Самое-самое. Старт от Московского вокзала.",[]
Q0044,Я фанат конструктивизма. Покажи мне лучшие образцы в городе. 3 часа. Старт от пл. Горького.,3.0,56.3240676,44.0005071,Я фанат конструктивизма. Покажи мне лучшие образцы в городе. 3 часа. Старт от пл. Горького.,[]
Q0045,Есть час. Где в центре можно найти самый вкусный лимонад и выпить его на скамейке с красивым видом?,,,,Есть час. Где в центре можно найти самый вкусный лимонад и выпить его на скамейке с красивым видом?,"[""dessert""]"
Q0046,"Прогулка перед сном. 1 час. От набережной Федоровского. Нужен тихий, освещенный и безопасный маршрут.",1.0,56.3275208,43.9913023,"Прогулка перед сном. 1 час. От набережной Федоровского. Нужен тихий, освещенный и безопасный маршрут.","[""park"", ""view""]"
Q0047,Хочу посмотреть на город с воды. Есть ли рядом с Речным вокзалом короткие речные прогулки и что можно посмотреть за 2 часа до и после?,2.0,,,Хочу посмотреть на город с воды. Есть ли рядом с Речным вокзалом короткие речные прогулки и что можно посмотреть за 2 часа до и после?,"[""park""]"
Q0048,"Я интроверт. Посоветуй маршрут на 3 часа, где будет минимум людей, но максимум атмосферы. Старт от ул. Ульянова.",3.0,56.3270017,43.9834169,"Я интроверт. Посоветуй маршрут на 3 часа, где будет минимум людей, но максимум атмосферы. Старт от ул. Ульянова.",[]
Q0049,"Составь 'ленивый' маршрут на 2 часа. Чтобы было мало ходить, но много видеть. Может, спуститься на фуникулере? Старт от Кремля.",2.0,56.3272153,44.0057312,"Составь 'ленивый' маршрут на 2 часа. Чтобы было мало ходить, но много видеть. Может, спуститься на фуникулере? Старт от Кремля.",[]
Q0050,"Мы замерзли. 1.5 часа. Нужен маршрут по центру, который будет перебежками между теплыми кофейнями, небольшими музеями или магазинчиками. Старт от ул. Пискунова.",1.5,56.3270017,43.9834169,"Мы замерзли. 1.5 часа. Нужен маршрут по центру, который будет перебежками между теплыми кофейнями, небольшими музеями или магазинчиками. Старт от ул. Пискунова.",[]
Q0051,Ищу готику или псевдоготику в Нижнем. 2 часа. Старт от Покровки.,2.0,,,Ищу готику или псевдоготику в Нижнем. 2 часа. Старт от Покровки.,[]
Q0052,"Маршрут с ребенком 7 лет на 2 часа. Чтобы было не скучно, может какой-то квест? Старт от Кремля.",2.0,56.3272153,44.0057312,"Маршрут с ребенком 7 лет на 2 часа. Чтобы было не скучно, может какой-то квест? Старт от Кремля.",[]
Q0053,привет. 1.5 часа. я у ярмарки. куда пойти штоб паесть и красиво.,1.5,56.3074316,43.9304871,привет. 1.5 часа. я у ярмарки. куда пойти штоб паесть и красиво.,"[""history""]"
Q0054,Хочу посмотреть домик Каширина. Сколько времени заложить на прогулку туда от Почаинского оврага и что рядом?,,,,Хочу посмотреть домик Каширина. Сколько времени заложить на прогулку туда от Почаинского оврага и что рядом?,"[""park""]"
Q0055,Посоветуй место для пленэра на 3 часа. Нужен тихий двор со старой архитектурой. Я в районе ул. Студеной.,3.0,56.3264816,44.0051395,Посоветуй место для пленэра на 3 часа. Нужен тихий двор со старой архитектурой. Я в районе ул. Студеной.,[]
Q0056,"Нужен спокойный вечерний маршрут на 2 часа. Только красивые виды и тихие улицы, без баров и шума. Старт с Верхне-Волжской набережной.",2.0,56.3264816,44.0051395,"Нужен спокойный вечерний маршрут на 2 часа. Только красивые виды и тихие улицы, без баров и шума. Старт с Верхне-Волжской набережной.","[""park"", ""view""]"
Q0057,полчаса. стрелка. самое-самое.,,56.3348695,43.9437729,полчаса. стрелка. самое-самое.,[]
Q0058,Мы живем в Щербинках. Есть ли у нас в районе парки для длинной прогулки на 2-3 часа?,3.0,,,Мы живем в Щербинках. Есть ли у нас в районе парки для длинной прогулки на 2-3 часа?,"[""park""]"
Q0059,"Хочу найти крутой стрит-арт и выпить фильтр в спешелти кофейне. 2 часа, я у пл. Свободы.",2.0,,,"Хочу найти крутой стрит-арт и выпить фильтр в спешелти кофейне. 2 часа, я у пл. Свободы.","[""coffee""]"
Q0060,"Подскажи маршрут на 1.5 часа, чтобы по пути было кафе с розетками зарядить телефон. Я у Минина.",1.5,56.325842,44.0055456,"Подскажи маршрут на 1.5 часа, чтобы по пути было кафе с розетками зарядить телефон. Я у Минина.","[""coffee""]"
Q0061,"Я на ул. Родионова, в районе ТЦ Фантастика. Есть 2 часа. Что можно посмотреть пешком в этом районе?",2.0,56.3270017,43.9834169,"Я на ул. Родионова, в районе ТЦ Фантастика. Есть 2 часа. Что можно посмотреть пешком в этом районе?",[]
Q0062,"Покажи мне Нижний 80-х. 3 часа. Советская архитектура, мозаики, знаковые места той эпохи. Старт от пл. Лядова.",3.0,56.3240676,44.0005071,"Покажи мне Нижний 80-х. 3 часа. Советская архитектура, мозаики, знаковые места той эпохи. Старт от пл. Лядова.",[]
Q0063,"Ищу места, связанные с Петром I в Нижнем. Маршрут на 1.5 часа от пл. Народного единства.",1.5,56.2689053,43.7771118,"Ищу места, связанные с Петром I в Нижнем. Маршрут на 1.5 часа от пл. Народного единства.",[]
Q0064,"Нужен 'зеленый' маршрут. 4 часа. Максимум парков, скверов, набережных, минимум асфальта. Старт от парка Швейцария.",4.0,,,"Нужен 'зеленый' маршрут. 4 часа. Максимум парков, скверов, набережных, минимум асфальта. Старт от парка Швейцария.","[""park"", ""view""]"
Q0065,"56.308, 43.975. 1 час. что тут есть?",1.0,56.308,43.975,"56.308,43.975",[]
Q0066,"Маршрут для свидания. 2 часа. Романтичная атмосфера, красивые виды, уютное кафе в конце. Старт с набережной Федоровского.",2.0,56.3275208,43.9913023,"Маршрут для свидания. 2 часа. Романтичная атмосфера, красивые виды, уютное кафе в конце. Старт с набережной Федоровского.","[""coffee"", ""park"", ""view""]"
Q0067,Хочу погулять по территории Ярмарки и окрестностям. 2 часа. Интересует история и архитектура.,2.0,,,Хочу погулять по территории Ярмарки и окрестностям. 2 часа. Интересует история и архитектура.,"[""history""]"
Q0068,Составь маршрут по всем мостам через Почаинский овраг. 1 час. Старт от Лыковой дамбы.,1.0,,,Составь маршрут по всем мостам через Почаинский овраг. 1 час. Старт от Лыковой дамбы.,[]
Q0069,Я на самокате. 2 часа. Нужен маршрут с хорошим покрытием и красивыми видами. Старт от катера 'Герой'.,2.0,,,Я на самокате. 2 часа. Нужен маршрут с хорошим покрытием и красивыми видами. Старт от катера 'Герой'.,[]
Q0070,"Посоветуй, где в центре можно купить крафтовый сыр и местный мед, и прогулку рядом на часик.",,,,"Посоветуй, где в центре можно купить крафтовый сыр и местный мед, и прогулку рядом на часик.","[""park""]"
Q0071,"Застрял в пробке на метромосту. Расскажи, что я вижу вокруг? Куда бы я мог пойти гулять отсюда, если бы было 2 часа?",2.0,56.2211932,43.839459,"Застрял в пробке на метромосту. Расскажи, что я вижу вокруг? Куда бы я мог пойти гулять отсюда, если бы было 2 часа?",[]
Q0072,Ищу заброшенную больницу на ул. Нестерова. Построй маршрут к ней и вокруг на 1.5 часа.,1.5,56.3270017,43.9834169,Ищу заброшенную больницу на ул. Нестерова. Построй маршрут к ней и вокруг на 1.5 часа.,[]
Q0073,Мы приехали на 'Газели' на завод ГАЗ. Есть 3 часа. Покажи нам историю завода и района.,3.0,,,Мы приехали на 'Газели' на завод ГАЗ. Есть 3 часа. Покажи нам историю завода и района.,[]
Q0074,Что такое 'миллиошка'? Хочу погулять по этому району. 2 часа. Старт от ул. Кожевенной.,2.0,56.3270017,43.9834169,Что такое 'миллиошка'? Хочу погулять по этому району. 2 часа. Старт от ул. Кожевенной.,[]
Q0075,"Маршрут для пожилого человека. 1 час. Максимально ровно, без горок, много лавочек. Старт от пл. Театральной.",1.0,56.3240676,44.0005071,"Маршрут для пожилого человека. 1 час. Максимально ровно, без горок, много лавочек. Старт от пл. Театральной.",[]
Q0076,"Покажи мне 'тайный' Нижний. 4 часа. Секретные дворы, скрытые смотровые, неформальные арт-объекты. Старт от ул. Алексеевской.",4.0,56.3270017,43.9834169,"Покажи мне 'тайный' Нижний. 4 часа. Секретные дворы, скрытые смотровые, неформальные арт-объекты. Старт от ул. Алексеевской.",[]
Q0077,"Я блогер, снимаю видео. Нужен 3-часовой маршрут с максимально разнообразными и 'кинематографичными' локациями. Старт от Кремля.",,56.3272153,44.0057312,"Я блогер, снимаю видео. Нужен 3-часовой маршрут с максимально разнообразными и 'кинематографичными' локациями. Старт от Кремля.",[]
Q0078,"A 3-hour route for a foreigner who wants to see 'the real Russia', not just tourist spots. Starting from Gorky Square.",,,,"A 3-hour route for a foreigner who wants to see 'the real Russia', not just tourist spots. Starting from Gorky Square.",[]
Q0079,Ищу локации из сериала 'Метод'. 2 часа. Я в центре.,2.0,,,Ищу локации из сериала 'Метод'. 2 часа. Я в центре.,[]
Q0080,"Утренняя прогулка на 1 час, чтобы встретить рассвет. Я готов приехать в нужную точку. Посоветуй, где лучше.",1.0,,,"Утренняя прогулка на 1 час, чтобы встретить рассвет. Я готов приехать в нужную точку. Посоветуй, где лучше.","[""park""]"
Q0081,Покажи все 'сталинки' на проспекте Гагарина. Маршрут на 2 часа.,2.0,,,Покажи все 'сталинки' на проспекте Гагарина. Маршрут на 2 часа.,[]
Q0082,я в канавино. 2 часа. есть тут штота кроме вокзала и рынка?,2.0,,,я в канавино. 2 часа. есть тут штота кроме вокзала и рынка?,[]
Q0083,Хочу послушать уличных музыкантов. Где они обычно играют? И прогулку на 1.5 часа по этим местам.,1.5,56.2689053,43.7771118,Хочу послушать уличных музыкантов. Где они обычно играют? И прогулку на 1.5 часа по этим местам.,"[""park""]"
Q0084,"Маршрут 'Нижний в деталях'. 3 часа. Интересуют необычные двери, балконы, лепнина, детали домов. Старт от ул. Пискунова.",3.0,56.3270017,43.9834169,"Маршрут 'Нижний в деталях'. 3 часа. Интересуют необычные двери, балконы, лепнина, детали домов. Старт от ул. Пискунова.",[]
Q0085,Покажи мне город с воды. Где найти речной трамвайчик и куда можно сходить до/после него за 2 часа?,2.0,,,Покажи мне город с воды. Где найти речной трамвайчик и куда можно сходить до/после него за 2 часа?,[]
Q0086,"Я переезжаю в Нижний. Посоветуй прогулку на 3 часа, чтобы влюбиться в город. Старт от ул. Минина.",3.0,56.3270017,43.9834169,"Я переезжаю в Нижний. Посоветуй прогулку на 3 часа, чтобы влюбиться в город. Старт от ул. Минина.","[""park""]"
Q0087,Что такое 'Благовещенская слобода'? Хочу там погулять. 2 часа.,2.0,,,Что такое 'Благовещенская слобода'? Хочу там погулять. 2 часа.,[]
Q0088,Ищу самый старый фонтан в городе. Маршрут к нему на 1 час.,1.0,56.323666,43.940036,Ищу самый старый фонтан в городе. Маршрут к нему на 1 час.,[]
Q0089,Маршрут для велосипедиста. 3 часа. С заездом в центр и на набережные. Старт от пл. Лядова.,3.0,56.3240676,44.0005071,Маршрут для велосипедиста. 3 часа. С заездом в центр и на набережные. Старт от пл. Лядова.,"[""park"", ""view""]"
Q0090,Покажи мне Нижний с высоты птичьего полета. 2 часа. Все доступные смотровые площадки в центре.,2.0,,,Покажи мне Нижний с высоты птичьего полета. 2 часа. Все доступные смотровые площадки в центре.,[]
Q0091,нужен маршрут на 2 часа от площади свободы. хачу пасматреть на красивые старые дома.,2.0,,,нужен маршрут на 2 часа от площади свободы. хачу пасматреть на красивые старые дома.,[]
Q0092,"Посоветуй, куда пойти в дождливую погоду? 3 часа. Маршрут с перебежками по музеям, крытым галереям и кафе.",3.0,,,"Посоветуй, куда пойти в дождливую погоду? 3 часа. Маршрут с перебежками по музеям, крытым галереям и кафе.","[""coffee""]"
Q0093,"Хочу увидеть, где Ока впадает в Волгу. Маршрут к Стрелке на 1.5 часа от Ярмарки.",1.5,56.2689053,43.7771118,"Хочу увидеть, где Ока впадает в Волгу. Маршрут к Стрелке на 1.5 часа от Ярмарки.","[""history""]"
Q0094,"Я интересуюсь военной историей. 4 часа. Кремль, памятники, может, музей какой-то? Старт от пл. Минина.",4.0,56.3240676,44.0005071,"Я интересуюсь военной историей. 4 часа. Кремль, памятники, может, музей какой-то? Старт от пл. Минина.","[""museum""]"
Q0095,"Что посмотреть в районе ул. Генкиной? Есть 1 час. Может, какой-то сквер?",1.0,,,"Что посмотреть в районе ул. Генкиной? Есть 1 час. Может, какой-то сквер?","[""park""]"
Q0096,Покажи мне памятники животным в Нижнем. Маршрут на 2 часа.,2.0,56.3264816,44.0051395,Покажи мне памятники животным в Нижнем. Маршрут на 2 часа.,[]
Q0097,Хочу найти самый инстаграмный дворик. 1 час. Я на Покровке.,1.0,,,Хочу найти самый инстаграмный дворик. 1 час. Я на Покровке.,[]
Q0098,"Маршрут 'литературный Нижний'. 3 часа. Места, связанные не только с Горьким, но и с другими писателями.",3.0,,,"Маршрут 'литературный Нижний'. 3 часа. Места, связанные не только с Горьким, но и с другими писателями.",[]
Q0099,Мне скучно. 2 часа. Придумай что-нибудь необычное. Я на пл. Горького.,2.0,56.3240676,44.0005071,Мне скучно. 2 часа. Придумай что-нибудь необычное. Я на пл. Горького.,[]
Q0100,Где в центре можно найти тишину? 1.5 часа. Маршрут по самым тихим скверам и переулкам.,1.5,,,Где в центре можно найти тишину? 1.5 часа. Маршрут по самым тихим скверам и переулкам.,[]
Q0101,📸 Фото-тур на 3 часа. Ищу необычные ракурсы и 'секретные' дворики. Старт с Покровки.,3.0,56.3264816,44.0051395,📸 Фото-тур на 3 часа. Ищу необычные ракурсы и 'секретные' дворики. Старт с Покровки.,"[""view""]"
Q0102,"Составь маршрут по всем лестницам центра. 2 часа. Для тех, кто любит посложнее. Старт от Чкаловской.",2.0,56.3304669,44.0094375,"Составь маршрут по всем лестницам центра. 2 часа. Для тех, кто любит посложнее. Старт от Чкаловской.",[]
Q0103,Хочу увидеть пакгаузы на Стрелке. Как до них дойти от Речного вокзала и что еще там посмотреть? 2.5 часа.,2.5,56.3348695,43.9437729,Хочу увидеть пакгаузы на Стрелке. Как до них дойти от Речного вокзала и что еще там посмотреть? 2.5 часа.,[]
Q0104,"Я устал от центра. Куда можно съездить на 3 часа, чтобы увидеть природу? Может, Щелоковский хутор?",3.0,56.3130867,44.0010489,"Я устал от центра. Куда можно съездить на 3 часа, чтобы увидеть природу? Может, Щелоковский хутор?",[]
Q0105,"Маршрут по нижегородским дворикам-колодцам. Есть ли такие? 1.5 часа, я в районе Ильинки.",1.5,56.3291596,43.995723,"Маршрут по нижегородским дворикам-колодцам. Есть ли такие? 1.5 часа, я в районе Ильинки.",[]
Q0106,"Покажи мне места, где тусуется молодежь. 3 часа. Модные кластеры, скейт-парки, кофейни. Старт от ул. Алексеевской.",3.0,56.325213,44.0144439,"Покажи мне места, где тусуется молодежь. 3 часа. Модные кластеры, скейт-парки, кофейни. Старт от ул. Алексеевской.",[]
Q0107,Ищу дома с мозаикой. 2 часа. Интересует советский период. Старт от пр. Гагарина.,2.0,56.2536734,43.8175977,Ищу дома с мозаикой. 2 часа. Интересует советский период. Старт от пр. Гагарина.,[]
Q0108,Прогулка вдоль Почаинского оврага. 1 час. Безопасно ли там? Какие виды?,1.0,,,Прогулка вдоль Почаинского оврага. 1 час. Безопасно ли там? Какие виды?,"[""park""]"
Q0109,"Нужен маршрут 'сладкая жизнь'. 3 часа. Лучшие кондитерские, кофейни с десертами и магазины шоколада. Старт от Покровки.",3.0,,,"Нужен маршрут 'сладкая жизнь'. 3 часа. Лучшие кондитерские, кофейни с десертами и магазины шоколада. Старт от Покровки.",[]
Q0110,"Что можно увидеть в районе Канавино, кроме вокзала и ярмарки? 2 часа пешком.",2.0,,,"Что можно увидеть в районе Канавино, кроме вокзала и ярмарки? 2 часа пешком.","[""history""]"
Q0111,Покажи мне самые красивые парадные в центре. 2.5 часа. Если в них можно зайти.,2.5,,,Покажи мне самые красивые парадные в центре. 2.5 часа. Если в них можно зайти.,[]
Q0112,"Я фанат трамваев. Посоветуй самый живописный трамвайный маршрут и прогулку на 1 час в месте, где он заканчивается.",1.0,,,"Я фанат трамваев. Посоветуй самый живописный трамвайный маршрут и прогулку на 1 час в месте, где он заканчивается.","[""park""]"
Q0113,"Маршрут 'контрасты Нижнего'. 3 часа. Чтобы рядом были и разруха, и роскошь, и старина, и хайтек. Старт от Нижне-Волжской набережной.",3.0,56.33044,44.022951,"Маршрут 'контрасты Нижнего'. 3 часа. Чтобы рядом были и разруха, и роскошь, и старина, и хайтек. Старт от Нижне-Волжской набережной.","[""park"", ""view""]"
Q0114,Хочу увидеть все старинные башни Кремля. Маршрут вокруг стен на 2 часа.,2.0,56.3264816,44.0051395,Хочу увидеть все старинные башни Кремля. Маршрут вокруг стен на 2 часа.,[]
Q0115,Где лучшие закаты в городе? Составь маршрут к топ-3 точкам. 4 часа.,4.0,,,Где лучшие закаты в городе? Составь маршрут к топ-3 точкам. 4 часа.,[]
Q0116,Маршрут по купеческим усадьбам. 3 часа. Интересует архитектура и истории владельцев. Старт от Верхне-Волжской набережной.,3.0,56.327617,44.024055,Маршрут по купеческим усадьбам. 3 часа. Интересует архитектура и истории владельцев. Старт от Верхне-Волжской набережной.,"[""park"", ""view""]"
Q0117,"Покажи мне ночную жизнь Рождественской. 3 часа. Бары, клубы, музыка.",3.0,,,"Покажи мне ночную жизнь Рождественской. 3 часа. Бары, клубы, музыка.",[]
Q0118,Что такое 'старый Канавино'? Хочу там погулять. 2 часа.,2.0,,,Что такое 'старый Канавино'? Хочу там погулять. 2 часа.,[]
